layer,avg_trusted_verification_time,num_nodes
1,0.0,4
2,0.0,4
3,0.8530838489532471,4
4,0.9000040888786316,4
5,0.7483872175216675,4
6,0.8241543173789978,4
7,0.6641746163368225,4
8,0.8688241243362427,4
