node,total_rand,total_aprep,total_trans,total_exec
0,6.236776113510132,17.54841423034668,23.31083345413208,0.04347872734069824
1,6.29475212097168,17.542453289031982,23.2934410572052,0.04378938674926758
2,5.993975639343262,17.74969506263733,22.077944040298462,0.05022287368774414
3,5.990647554397583,17.865397453308105,23.426401138305664,0.03249239921569824
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
average,3.064518928527832,8.838245004415512,11.513577461242676,0.021247923374176025
