node,layer,rand_pre_time,aprep_pre_time,trans_pre_time,rand_foll_time,aprep_foll_time,trans_foll_time,exec_time,layer_time
0,0,0.0014421939849853516,3.4140090942382812,,,,,,3.9514853954315186
0,1,0.0001163482666015625,6.556510925292969e-05,7.605552673339844e-05,2.591186285018921,2.999976396560669,,0.009556055068969727,6.810942888259888
0,2,0.00011587142944335938,7.367134094238281e-05,5.555152893066406e-05,0.7809431552886963,2.2610838413238525,5.076706409454346,0.007136821746826172,14.937230348587036
0,3,0.00010228157043457031,0.0003154277801513672,0.0006890296936035156,0.7605841159820557,2.3928775787353516,3.8079118728637695,0.010575294494628906,21.910573720932007
0,4,8.344650268554688e-05,6.699562072753906e-05,7.534027099609375e-05,0.695601224899292,2.150019884109497,4.354429244995117,0.006308555603027344,29.117310762405396
0,5,6.866455078125e-05,7.915496826171875e-05,5.269050598144531e-05,0.7293975353240967,2.188547134399414,5.22645902633667,0.004412174224853516,37.2665228843689
0,6,,,0.0001590251922607422,0.6771349906921387,2.1412994861602783,3.522130012512207,0.005489826202392578,43.61315727233887
0,7,,,,,,1.3220891952514648,,44.95724582672119
1,0,0.006472349166870117,3.4131548404693604,,,,,,4.004562616348267
1,1,0.00010728836059570312,9.465217590332031e-05,5.817413330078125e-05,2.597447156906128,2.993868112564087,,0.009351491928100586,7.2775537967681885
1,2,0.00013899803161621094,8.463859558105469e-05,6.842613220214844e-05,0.7814366817474365,2.2592899799346924,3.869089365005493,0.00815892219543457,14.19605827331543
1,3,9.512901306152344e-05,6.699562072753906e-05,5.6743621826171875e-05,0.7605206966400146,2.3945460319519043,5.060221433639526,0.010468482971191406,22.422154903411865
1,4,7.295608520507812e-05,7.462501525878906e-05,5.435943603515625e-05,0.696880578994751,2.151172161102295,4.600032567977905,0.005080461502075195,29.875643730163574
1,5,7.891654968261719e-05,5.936622619628906e-05,7.510185241699219e-05,0.7742183208465576,2.1883771419525146,3.4545257091522217,0.0047914981842041016,36.297935009002686
1,6,,,0.00011444091796875,0.6772830486297607,2.141664743423462,4.48304009437561,0.005938529968261719,43.60632348060608
1,7,,,,,,1.8261046409606934,,45.43798756599426
2,0,0.006699323654174805,3.6079955101013184,,,,,,4.154224634170532
2,1,8.511543273925781e-05,7.367134094238281e-05,6.723403930664062e-05,2.315157413482666,3.005317211151123,,0.011804819107055664,7.883282661437988
2,2,9.369850158691406e-05,5.6743621826171875e-05,5.1021575927734375e-05,0.7669463157653809,2.2625503540039062,3.3787591457366943,0.009759664535522461,14.301602125167847
2,3,0.00019049644470214844,7.271766662597656e-05,5.555152893066406e-05,0.7582426071166992,2.393162250518799,4.153235197067261,0.011608123779296875,21.61830186843872
2,4,7.462501525878906e-05,6.246566772460938e-05,8.845329284667969e-05,0.6952450275421143,2.1503188610076904,6.124335289001465,0.005729198455810547,30.594345808029175
2,5,8.535385131835938e-05,5.936622619628906e-05,6.198883056640625e-05,0.7743148803710938,2.188615560531616,2.382535696029663,0.004398345947265625,35.94452214241028
2,6,,,0.00011706352233886719,0.6768407821655273,2.1414103507995605,4.990654230117798,0.006922721862792969,43.761024951934814
2,7,,,,,,1.047983169555664,,44.83061599731445
3,0,0.002511262893676758,3.717505693435669,,,,,,4.426759243011475
3,1,0.00010657310485839844,8.440017700195312e-05,5.984306335449219e-05,2.3044931888580322,3.007324695587158,,0.004575014114379883,6.791682958602905
3,2,0.00013780593872070312,8.0108642578125e-05,7.605552673339844e-05,0.7802639007568359,2.2624106407165527,4.548806667327881,0.005778789520263672,14.389378309249878
3,3,0.00011491775512695312,5.984306335449219e-05,6.389617919921875e-05,0.7533590793609619,2.396935224533081,4.162198543548584,0.0071544647216796875,21.709400415420532
3,4,7.104873657226562e-05,7.557868957519531e-05,8.249282836914062e-05,0.6968603134155273,2.15194034576416,5.317135810852051,0.0043985843658447266,29.880172729492188
3,5,7.295608520507812e-05,7.224082946777344e-05,5.221366882324219e-05,0.7754199504852295,2.1875317096710205,3.221686840057373,0.0045011043548583984,36.06964445114136
3,6,,,0.0001266002655029297,0.6772365570068359,2.1413769721984863,4.670643091201782,0.006084442138671875,43.56582450866699
3,7,,,,,,1.5054690837860107,,45.091874837875366
4,0,,,,,,,,0.02343130111694336
4,1,,,,,,,,0.02432084083557129
5,0,,,,,,,,0.016910791397094727
5,1,,,,,,,,0.021839380264282227
6,0,,,,,,,,0.019807100296020508
6,1,,,,,,,,0.036752939224243164
7,0,,,,,,,,0.027463436126708984
7,1,,,,,,,,0.024226903915405273
